Date,P/E,P/B,Div Yield
04-Jan-2010,23.31,3.67,0.94
05-Jan-2010,23.57,3.71,0.93
06-Jan-2010,23.59,3.72,0.93
07-Jan-2010,23.51,3.7,0.93
08-Jan-2010,23.43,3.69,0.94
11-Jan-2010,23.45,3.7,0.94
12-Jan-2010,23.28,3.67,0.94
13-Jan-2010,23.38,3.68,0.94
14-Jan-2010,23.5,3.7,0.93
15-Jan-2010,23.46,3.69,0.94
18-Jan-2010,23.57,3.71,0.93
19-Jan-2010,23.35,3.68,0.94
20-Jan-2010,23.06,3.67,0.94
21-Jan-2010,22.5,3.58,0.97
22-Jan-2010,22.24,3.54,0.98
25-Jan-2010,21.7,3.52,0.98
27-Jan-2010,21.03,3.41,1.01
28-Jan-2010,21.09,3.42,1.01
29-Jan-2010,21,3.43,1.01
01-Feb-2010,21.07,3.45,1
02-Feb-2010,20.77,3.4,1.02
03-Feb-2010,21.21,3.47,1
04-Feb-2010,20.84,3.41,1.02
05-Feb-2010,20.18,3.32,1.05
06-Feb-2010,20.35,3.35,1.04
08-Feb-2010,20.36,3.35,1.04
09-Feb-2010,20.5,3.37,1.03
10-Feb-2010,20.35,3.35,1.04
11-Feb-2010,20.65,3.4,1.02
15-Feb-2010,20.54,3.38,1.03
16-Feb-2010,20.77,3.42,1.02
17-Feb-2010,21.02,3.46,1
18-Feb-2010,20.91,3.44,1.01
19-Feb-2010,20.72,3.41,1.02
22-Feb-2010,20.77,3.42,1.02
23-Feb-2010,20.83,3.43,1.01
24-Feb-2010,20.78,3.42,1.02
25-Feb-2010,20.79,3.42,1.02
26-Feb-2010,20.92,3.46,1
02-Mar-2010,21.33,3.53,0.98
03-Mar-2010,21.63,3.58,0.97
04-Mar-2010,21.59,3.57,0.97
05-Mar-2010,21.63,3.58,0.97
08-Mar-2010,21.8,3.61,0.96
09-Mar-2010,21.7,3.59,0.97
10-Mar-2010,21.77,3.6,0.96
11-Mar-2010,21.84,3.61,0.96
12-Mar-2010,21.86,3.62,0.96
15-Mar-2010,21.82,3.61,0.96
16-Mar-2010,22.12,3.66,0.95
17-Mar-2010,22.26,3.68,0.94
18-Mar-2010,22.32,3.69,0.94
19-Mar-2010,22.39,3.71,0.94
22-Mar-2010,22.15,3.66,0.95
23-Mar-2010,22.23,3.68,0.94
25-Mar-2010,22.38,3.7,0.94
26-Mar-2010,22.47,3.72,0.93
29-Mar-2010,22.56,3.73,0.93
30-Mar-2010,22.39,3.71,0.94
31-Mar-2010,22.33,3.7,0.94
01-Apr-2010,22.52,3.73,0.93
05-Apr-2010,22.85,3.78,0.92
06-Apr-2010,22.84,3.78,0.92
07-Apr-2010,22.88,3.79,0.92
08-Apr-2010,22.96,3.77,0.92
09-Apr-2010,23.21,3.81,0.91
12-Apr-2010,23.11,3.79,0.91
13-Apr-2010,23.04,3.78,0.92
15-Apr-2010,22.83,3.75,0.93
16-Apr-2010,22.78,3.74,0.93
19-Apr-2010,22.58,3.7,0.94
20-Apr-2010,22.71,3.72,0.93
21-Apr-2010,22.78,3.73,0.93
22-Apr-2010,22.88,3.75,0.93
23-Apr-2010,23.03,3.77,0.92
26-Apr-2010,23.11,3.78,0.92
27-Apr-2010,22.45,3.77,0.92
28-Apr-2010,22.05,3.71,0.94
29-Apr-2010,22.22,3.74,0.93
30-Apr-2010,22.29,3.75,0.92
03-May-2010,22.06,3.71,0.93
04-May-2010,21.74,3.66,0.95
05-May-2010,21.64,3.64,0.95
06-May-2010,21.5,3.62,0.96
07-May-2010,21.19,3.57,0.97
10-May-2010,21.92,3.69,0.95
11-May-2010,21.68,3.65,0.96
12-May-2010,21.77,3.66,0.96
13-May-2010,21.86,3.68,0.95
14-May-2010,21.26,3.62,0.97
17-May-2010,21.12,3.6,0.97
18-May-2010,21.14,3.6,0.97
19-May-2010,20.53,3.5,1
20-May-2010,20.65,3.52,1
21-May-2010,20.58,3.5,1
24-May-2010,20.63,3.51,1
25-May-2010,20.06,3.42,1.03
26-May-2010,20.52,3.49,1
27-May-2010,20.88,3.56,0.98
28-May-2010,21.22,3.6,0.97
31-May-2010,21.3,3.61,0.97
01-Jun-2010,20.81,3.53,0.99
02-Jun-2010,21.02,3.57,0.98
