Date,Open ,High ,Low ,Close,Prev. Close ,Change ,% Change
04-Jan-2010,23.35,24.95,23.35,23.73,23.35,0.38,1.63
05-Jan-2010,23.73,23.73,22.08,22.21,23.73,-1.52,-6.41
06-Jan-2010,21.73,22.57,21.73,22.1,22.21,-0.11,-0.5
07-Jan-2010,21.27,22.92,21.25,22.29,22.1,0.19,0.86
08-Jan-2010,20.64,22.71,20.64,22.41,22.29,0.12,0.54
11-Jan-2010,22.25,22.83,22.15,22.45,22.41,0.04,0.18
12-Jan-2010,22.45,23.19,22.24,22.96,22.45,0.51,2.27
13-Jan-2010,21.13,23.11,21.13,21.96,22.96,-1,-4.36
14-Jan-2010,19.5,21.83,19.5,20.89,21.96,-1.07,-4.87
15-Jan-2010,20.11,21.36,20.11,21.06,20.89,0.17,0.81
18-Jan-2010,19.4,22.13,19.4,21.64,21.06,0.58,2.75
19-Jan-2010,20.33,22.36,20.33,22.01,21.64,0.37,1.71
20-Jan-2010,19.79,22.83,19.79,22.25,22.01,0.24,1.09
21-Jan-2010,20.94,24.89,20.94,24.17,22.25,1.92,8.63
22-Jan-2010,24.17,26.7,24.17,25.4,24.17,1.23,5.09
25-Jan-2010,25.25,26.45,25.04,25.81,25.4,0.41,1.61
27-Jan-2010,24.71,29.23,24.71,29.2,25.81,3.39,13.13
28-Jan-2010,26.55,29.23,26.55,26.93,29.2,-2.27,-7.77
29-Jan-2010,27.1,28.54,25.72,26.65,26.93,-0.28,-1.04
01-Feb-2010,23.35,27.3,23.35,26.17,26.65,-0.48,-1.8
02-Feb-2010,23.94,27.43,23.94,26.05,26.17,-0.12,-0.46
03-Feb-2010,25.79,27.05,25.39,26.23,26.05,0.18,0.69
04-Feb-2010,23.63,27.49,23.63,26.56,26.23,0.33,1.26
05-Feb-2010,26.56,31.16,26.56,29.96,26.56,3.4,12.8
06-Feb-2010,29.96,29.96,28.05,29.18,29.96,-0.78,-2.6
08-Feb-2010,29.18,31.74,29.18,31.33,29.18,2.15,7.37
09-Feb-2010,30.24,30.61,29.61,29.91,31.33,-1.42,-4.53
10-Feb-2010,28.37,30.79,28.37,30.61,29.91,0.7,2.34
11-Feb-2010,27.29,29.73,27.29,29.14,30.61,-1.47,-4.8
15-Feb-2010,29.34,30.56,29.18,29.67,29.14,0.53,1.82
16-Feb-2010,27.73,29.73,27.73,28.92,29.67,-0.75,-2.53
17-Feb-2010,26.49,28.61,26.49,27.75,28.92,-1.17,-4.05
18-Feb-2010,26.49,28.57,26.49,28.42,27.75,0.67,2.41
19-Feb-2010,26.68,30.62,26.68,30.45,28.42,2.03,7.14
22-Feb-2010,28.19,31.82,28.19,31.8,30.45,1.35,4.43
23-Feb-2010,31.27,32.13,30.89,31.09,31.8,-0.71,-2.23
24-Feb-2010,29.13,31.32,29.13,30.55,31.09,-0.54,-1.74
25-Feb-2010,30.55,30.6,28.84,29.71,30.55,-0.84,-2.75
26-Feb-2010,29.71,29.86,23.38,25.24,29.71,-4.47,-15.05
02-Mar-2010,23.27,23.66,21.99,22.82,25.24,-2.42,-9.59
03-Mar-2010,20.83,21.83,20.8,21.3,22.82,-1.52,-6.66
04-Mar-2010,20.3,21.65,20.3,21.24,21.3,-0.06,-0.28
05-Mar-2010,19.48,21.43,19.48,21,21.24,-0.24,-1.13
08-Mar-2010,19.81,21.21,19.81,20.82,21,-0.18,-0.86
09-Mar-2010,20.44,21.18,20.4,20.96,20.82,0.14,0.67
10-Mar-2010,18.41,20.77,18.41,20.25,20.96,-0.71,-3.39
11-Mar-2010,18.55,20.64,18.55,20.53,20.25,0.28,1.38
12-Mar-2010,18.48,20.4,18.48,19.82,20.53,-0.71,-3.46
15-Mar-2010,19.15,20.93,19.15,20.43,19.82,0.61,3.08
16-Mar-2010,18.74,20.27,18.74,20.17,20.43,-0.26,-1.27
17-Mar-2010,17.86,19.57,17.86,19.04,20.17,-1.13,-5.6
18-Mar-2010,17.96,19.7,17.96,19.26,19.04,0.22,1.16
19-Mar-2010,18.08,19.39,18.08,18.94,19.26,-0.32,-1.66
22-Mar-2010,18.94,20.31,18,20.21,18.94,1.27,6.71
23-Mar-2010,20.21,20.4,18.33,18.42,20.21,-1.79,-8.86
25-Mar-2010,18.42,19.26,17.24,17.84,18.42,-0.58,-3.15
26-Mar-2010,17.84,18.32,16.63,18.23,17.84,0.39,2.19
29-Mar-2010,18.16,19.9,18.16,19.48,18.23,1.25,6.86
30-Mar-2010,18.28,19.9,18.28,19.9,19.48,0.42,2.16
31-Mar-2010,19.9,20.06,18.94,19.83,19.9,-0.07,-0.35
01-Apr-2010,18.81,19.42,17.49,18.09,19.83,-1.74,-8.77
05-Apr-2010,17.43,18.28,16.94,17.5,18.09,-0.59,-3.26
06-Apr-2010,17.5,17.52,16.47,17.3,17.5,-0.2,-1.14
07-Apr-2010,17.3,17.79,16.63,17.5,17.3,0.2,1.16
08-Apr-2010,16.68,19.81,16.54,19.58,17.5,2.08,11.89
09-Apr-2010,18.06,18.85,18.03,18.6,19.58,-0.98,-5.01
