Date,Open ,High ,Low ,Close,Prev. Close ,Change ,% Change
01-Jan-2016,13.87,14.3475,13.105,14.26,13.87,0.39,2.81
04-Jan-2016,14.26,17.1025,14.03,16.835,14.26,2.58,18.06
05-Jan-2016,16.835,16.835,15.5675,16.7025,16.835,-0.13,-0.79
06-Jan-2016,16.7025,17.1625,15.6075,16.5525,16.7025,-0.15,-0.9
07-Jan-2016,16.5525,19.255,16.49,18.96,16.5525,2.41,14.54
08-Jan-2016,18.96,18.96,16.8725,17.7975,18.96,-1.16,-6.13
11-Jan-2016,17.7975,19.2025,17.7975,18.69,17.7975,0.89,5.01
12-Jan-2016,18.69,19.1875,17.15,18.7125,18.69,0.02,0.12
13-Jan-2016,18.7125,19.6625,17.5225,18.3525,18.7125,-0.36,-1.92
14-Jan-2016,18.3525,19.7875,16.465,18.605,18.3525,0.25,1.38
15-Jan-2016,18.605,19.69,15.6725,19.415,18.605,0.81,4.35
18-Jan-2016,19.415,20.54,18.1025,20.225,19.415,0.81,4.17
19-Jan-2016,20.225,20.225,17.93,18.43,20.225,-1.8,-8.88
20-Jan-2016,18.43,22.1075,17.1875,20.965,18.43,2.54,13.75
21-Jan-2016,20.965,21.6925,17.8525,20.8125,20.965,-0.15,-0.73
22-Jan-2016,20.8125,20.8125,17.1175,18.82,20.8125,-1.99,-9.57
25-Jan-2016,18.82,19.1475,17.2125,18.265,18.82,-0.56,-2.95
27-Jan-2016,18.265,19.27,17.935,19.0575,18.265,0.79,4.34
28-Jan-2016,19.0575,19.0575,17.2575,17.9,19.0575,-1.16,-6.07
29-Jan-2016,17.9,18.8,17.075,17.24,17.9,-0.66,-3.69
01-Feb-2016,17.24,18.1725,17.125,17.89,17.24,0.65,3.77
02-Feb-2016,17.89,18.35,16.4875,18.035,17.89,0.15,0.81
03-Feb-2016,18.035,18.94,18.015,18.5875,18.035,0.55,3.06
04-Feb-2016,18.5875,18.6525,17.325,18.2075,18.5875,-0.38,-2.04
05-Feb-2016,18.2075,18.3275,16.5425,18.115,18.2075,-0.09,-0.51
08-Feb-2016,18.115,20.4525,17.36,20.2575,18.115,2.14,11.83
09-Feb-2016,20.2575,22.0325,20.2475,21.7275,20.2575,1.47,7.26
10-Feb-2016,21.7275,23.095,21.435,22.465,21.7275,0.74,3.39
11-Feb-2016,22.465,26.87,22.11,25.965,22.465,3.5,15.58
12-Feb-2016,25.965,25.97,24.0075,24.6725,25.965,-1.29,-4.98
15-Feb-2016,24.6725,24.6725,21.7975,22.375,24.6725,-2.3,-9.31
16-Feb-2016,22.375,23.33,17.32,23.04,22.375,0.67,2.97
17-Feb-2016,23.04,23.805,20.6375,21.8325,23.04,-1.21,-5.24
18-Feb-2016,21.8325,22.3,19.79,21.485,21.8325,-0.35,-1.59
19-Feb-2016,21.485,21.6625,17.6975,20.915,21.485,-0.57,-2.65
22-Feb-2016,20.915,21.8625,17.4075,21.02,20.915,0.11,0.5
23-Feb-2016,21.02,24.64,21.02,23.8375,21.02,2.82,13.4
24-Feb-2016,23.8375,24.815,22.1275,22.955,23.8375,-0.88,-3.7
25-Feb-2016,22.955,23.4875,22.1975,22.745,22.955,-0.21,-0.91
26-Feb-2016,22.745,23.145,21.19,21.865,22.745,-0.88,-3.87
29-Feb-2016,21.865,22.405,19.355,20.1575,21.865,-1.71,-7.81
01-Mar-2016,20.1575,20.1575,18.4025,18.6725,20.1575,-1.49,-7.37
02-Mar-2016,18.6725,19.2,17.495,18.99,18.6725,0.32,1.7
03-Mar-2016,18.99,19.02,17.9075,18.04,18.99,-0.95,-5
04-Mar-2016,18.04,18.315,17.2,17.8825,18.04,-0.16,-0.87
08-Mar-2016,17.8825,18.975,17.41,18.465,17.8825,0.58,3.26
09-Mar-2016,18.465,18.675,17.315,17.505,18.465,-0.96,-5.2
10-Mar-2016,17.505,18.24,16.2675,17.895,17.505,0.39,2.23
11-Mar-2016,17.895,17.895,16.0325,17.0975,17.895,-0.8,-4.46
14-Mar-2016,17.0975,17.4,15.585,17.1025,17.0975,0.01,0.03
15-Mar-2016,17.1025,17.84,15.23,17.5975,17.1025,0.5,2.89
16-Mar-2016,17.5975,17.88,14.5975,17.115,17.5975,-0.48,-2.74
17-Mar-2016,17.115,17.275,15.5575,16.84,17.115,-0.28,-1.61
18-Mar-2016,16.84,16.8675,14.9,16.3825,16.84,-0.46,-2.72
21-Mar-2016,16.3825,17.11,14.8325,16.3325,16.3825,-0.05,-0.31
